0.00	0.00	0.00	0.00	0.00	174.40	352.76	535.86	541.39	547.07	552.72	558.29	563.77	569.12	574.34	579.43	584.39	589.20	593.86	598.37	602.73	606.93	610.96	614.84	618.56	622.11	625.49	628.71	631.76	634.65	637.37	639.93	642.33	644.57	646.64	648.56	650.33	651.94	653.40	654.71	655.88	656.90	657.78	658.53	659.14	659.62	659.96	660.19	660.29	660.26	660.13	659.87	659.51	659.03	658.45	657.77	656.99	656.12	655.14	654.08	652.93	651.69	650.37	648.98	647.53	646.01	644.43	642.81	641.15	639.46	637.75	636.03	634.31	632.60	630.90	629.24	627.61	626.01	624.41	622.80	413.88	0.00	0.00	0.00	0.00	0.00	0.00	
0.00	0.00	0.00	0.00	0.00	0.00	355.29	539.29	545.09	550.61	556.08	561.48	566.78	571.96	577.02	581.95	586.75	591.42	595.95	600.34	604.57	608.66	612.59	616.37	619.98	623.44	626.74	629.88	632.85	635.67	638.32	640.82	643.16	645.33	647.36	649.23	650.95	652.52	653.94	655.21	656.35	657.34	658.20	658.92	659.51	659.97	660.30	660.51	660.60	660.57	660.42	660.17	659.80	659.33	658.75	658.08	657.31	656.45	655.49	654.45	653.32	652.11	650.82	649.47	648.05	646.57	645.04	643.48	641.87	640.24	638.60	636.95	635.30	633.67	632.07	630.50	628.97	627.46	625.87	415.91	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.00	0.00	0.00	0.00	0.00	0.00	0.00	362.40	549.19	554.26	559.54	564.77	569.89	574.89	579.77	584.55	589.19	593.72	598.11	602.36	606.48	610.44	614.26	617.93	621.45	624.81	628.02	631.07	633.97	636.71	639.29	641.72	643.99	646.11	648.08	649.90	651.57	653.10	654.48	655.71	656.81	657.78	658.60	659.30	659.87	660.31	660.62	660.82	660.89	660.85	660.70	660.44	660.07	659.60	659.04	658.37	657.61	656.76	655.83	654.80	653.70	652.51	651.26	649.94	648.56	647.13	645.65	644.13	642.59	641.02	639.44	637.86	636.30	634.75	633.24	631.77	630.36	629.08	418.36	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.00	0.00	0.00	0.00	0.00	0.00	0.00	364.46	552.20	557.72	563.08	568.16	573.09	577.90	582.60	587.20	591.69	596.07	600.32	604.44	608.42	612.27	615.97	619.53	622.95	626.21	629.33	632.29	635.10	637.76	640.27	642.63	644.84	646.89	648.81	650.57	652.19	653.67	655.01	656.21	657.27	658.20	659.00	659.67	660.21	660.63	660.93	661.10	661.17	661.12	660.96	660.70	660.33	659.86	659.30	658.64	657.89	657.06	656.14	655.14	654.06	652.90	651.68	650.40	649.06	647.67	646.24	644.78	643.29	641.79	640.28	638.78	637.29	635.83	634.41	633.03	631.71	630.34	419.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	370.14	561.58	566.89	571.70	576.37	580.97	585.48	589.90	594.23	598.45	602.56	606.54	610.40	614.13	617.71	621.16	624.47	627.63	630.65	633.52	636.25	638.83	641.26	643.54	645.68	647.68	649.53	651.24	652.81	654.24	655.53	656.69	657.72	658.61	659.38	660.02	660.54	660.93	661.21	661.37	661.43	661.37	661.20	660.93	660.56	660.10	659.54	658.89	658.15	657.34	656.43	655.45	654.40	653.27	652.09	650.84	649.54	648.20	646.83	645.42	643.99	642.56	641.12	639.68	638.27	636.90	635.56	634.30	633.15	421.16	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	377.54	571.20	575.36	579.70	584.06	588.38	592.63	596.80	600.87	604.83	608.68	612.40	616.00	619.47	622.81	626.01	629.07	631.99	634.77	637.40	639.90	642.25	644.46	646.53	648.46	650.25	651.90	653.42	654.80	656.05	657.16	658.15	659.01	659.74	660.35	660.84	661.22	661.48	661.63	661.66	661.59	661.42	661.15	660.78	660.31	659.76	659.12	658.39	657.59	656.71	655.75	654.72	653.63	652.48	651.27	650.02	648.72	647.40	646.05	644.68	643.31	641.94	640.58	639.24	637.94	636.69	635.49	634.26	421.74	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	379.36	574.41	578.79	582.97	587.13	591.27	595.35	599.37	603.29	607.11	610.82	614.42	617.89	621.24	624.46	627.55	630.51	633.33	636.01	638.56	640.97	643.24	645.38	647.38	649.24	650.97	652.56	654.02	655.35	656.55	657.62	658.57	659.39	660.09	660.67	661.14	661.49	661.73	661.86	661.88	661.80	661.62	661.34	660.97	660.51	659.96	659.33	658.61	657.83	656.96	656.03	655.03	653.96	652.85	651.68	650.47	649.22	647.95	646.66	645.35	644.04	642.74	641.45	640.19	638.97	637.81	636.75	423.62	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	385.51	582.40	586.19	590.15	594.13	598.06	601.93	605.71	609.40	612.97	616.44	619.79	623.02	626.12	629.10	631.95	634.67	637.26	639.72	642.04	644.23	646.29	648.21	650.01	651.67	653.20	654.61	655.88	657.04	658.06	658.97	659.75	660.42	660.97	661.41	661.73	661.95	662.06	662.07	661.98	661.79	661.51	661.14	660.68	660.13	659.51	658.81	658.04	657.20	656.28	655.31	654.28	653.20	652.07	650.91	649.71	648.49	647.25	646.01	644.77	643.53	642.31	641.11	639.96	638.84	637.71	424.10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	387.25	585.11	589.19	593.08	596.94	600.75	604.48	608.12	611.67	615.12	618.45	621.68	624.79	627.77	630.64	633.39	636.01	638.50	640.86	643.10	645.21	647.19	649.04	650.76	652.36	653.83	655.18	656.40	657.51	658.49	659.35	660.10	660.73	661.25	661.66	661.96	662.15	662.25	662.24	662.14	661.94	661.66	661.28	660.82	660.28	659.67	658.98	658.23	657.40	656.52	655.57	654.57	653.53	652.44	651.32	650.17	649.01	647.83	646.65	645.47	644.30	643.15	642.01	640.92	639.92	425.79	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	392.26	592.34	595.95	599.70	603.40	607.01	610.52	613.93	617.24	620.45	623.55	626.54	629.41	632.17	634.81	637.33	639.72	642.00	644.14	646.17	648.07	649.85	651.50	653.03	654.44	655.73	656.90	657.95	658.89	659.71	660.42	661.01	661.50	661.88	662.16	662.33	662.41	662.39	662.27	662.07	661.78	661.40	660.94	660.41	659.81	659.13	658.39	657.59	656.73	655.81	654.84	653.84	652.79	651.72	650.62	649.51	648.39	647.27	646.16	645.05	643.97	642.89	641.80	640.70	426.18	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
