0.00	0.00	0.00	0.00	557.66	837.79	839.99	842.06	844.10	846.14	848.17	850.20	852.20	854.19	856.15	858.09	860.00	861.86	863.69	865.48	867.22	868.91	870.54	872.12	873.65	875.11	876.51	877.85	879.12	880.32	881.45	882.51	883.49	884.40	885.23	885.99	886.66	887.26	887.77	888.19	888.53	888.78	888.94	889.01	888.98	888.86	888.64	888.32	887.91	887.38	886.76	886.02	885.18	884.22	883.15	881.97	880.67	879.24	877.70	876.04	874.24	872.33	870.28	868.10	865.80	863.35	860.78	858.07	855.22	852.24	849.12	845.86	842.46	838.90	835.16	831.26	827.19	822.95	818.54	813.97	809.23	804.33	799.27	794.06	788.68	783.16	777.48	771.65	765.69	759.59	753.35	746.99	740.51	733.89	727.14	720.26	713.30	706.16	698.56	692.15	457.68	454.55	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.00	0.00	0.00	0.00	558.07	559.43	840.90	842.82	844.82	846.83	848.83	850.83	852.81	854.78	856.72	858.64	860.52	862.38	864.19	865.96	867.69	869.37	871.00	872.57	874.09	875.55	876.94	878.28	879.54	880.74	881.87	882.93	883.92	884.83	885.66	886.42	887.10	887.69	888.21	888.64	888.98	889.24	889.40	889.48	889.46	889.35	889.13	888.83	888.42	887.90	887.29	886.56	885.73	884.79	883.73	882.56	881.28	879.87	878.34	876.70	874.92	873.02	871.00	868.84	866.56	864.14	861.59	858.91	856.09	853.13	850.04	846.82	843.45	839.92	836.22	832.35	828.32	824.12	819.75	815.23	810.53	805.68	800.67	795.50	790.17	784.70	779.07	773.30	767.39	761.34	755.17	748.89	742.48	735.95	729.25	722.39	715.59	708.82	467.99	462.95	460.39	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.00	0.00	0.00	0.00	0.00	559.87	841.42	843.47	845.47	847.46	849.45	851.42	853.37	855.31	857.24	859.13	861.00	862.83	864.63	866.39	868.11	869.78	871.40	872.96	874.47	875.92	877.32	878.65	879.91	881.11	882.24	883.30	884.28	885.20	886.03	886.79	887.47	888.08	888.59	889.03	889.38	889.64	889.81	889.90	889.89	889.78	889.58	889.28	888.88	888.38	887.77	887.06	886.24	885.32	884.27	883.12	881.85	880.46	878.95	877.32	875.57	873.69	871.69	869.56	867.30	864.90	862.38	859.72	856.93	854.01	850.95	847.76	844.43	840.94	837.28	833.45	829.46	825.30	820.98	816.50	811.86	807.05	802.09	796.97	791.70	786.27	780.70	774.98	769.13	763.14	757.04	750.83	744.54	738.13	731.50	724.47	717.92	474.75	471.43	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.00	0.00	0.00	0.00	0.00	560.49	841.99	844.11	846.10	848.06	850.01	851.96	853.89	855.80	857.70	859.57	861.42	863.24	865.02	866.77	868.47	870.13	871.74	873.29	874.80	876.25	877.63	878.96	880.22	881.42	882.55	883.61	884.60	885.51	886.35	887.11	887.80	888.40	888.93	889.37	889.72	889.99	890.17	890.27	890.26	890.17	889.98	889.69	889.30	888.81	888.22	887.52	886.72	885.80	884.78	883.64	882.39	881.02	879.53	877.92	876.19	874.33	872.35	870.25	868.01	865.65	863.15	860.53	857.77	854.88	851.85	848.70	845.41	841.95	838.33	834.55	830.60	826.49	822.22	817.78	813.19	808.44	803.53	798.47	793.25	787.88	782.36	776.70	770.90	764.97	758.93	752.80	746.67	740.49	734.17	485.31	479.99	477.47	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.00	0.00	0.00	0.00	0.00	560.85	562.14	844.87	846.71	848.62	850.54	852.45	854.36	856.24	858.12	859.97	861.79	863.59	865.36	867.09	868.78	870.42	872.02	873.57	875.07	876.51	877.90	879.22	880.48	881.68	882.81	883.87	884.86	885.77	886.62	887.38	888.07	888.68	889.21	889.66	890.02	890.30	890.49	890.59	890.60	890.51	890.33	890.05	889.68	889.20	888.62	887.94	887.15	886.25	885.24	884.12	882.89	881.54	880.07	878.48	876.78	874.95	872.99	870.91	868.70	866.37	863.90	861.31	858.59	855.73	852.74	849.63	846.37	842.96	839.38	835.64	831.74	827.68	823.46	819.08	814.54	809.85	805.00	799.99	794.83	789.52	784.06	778.45	772.71	766.83	760.82	754.70	748.80	742.98	491.56	487.86	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.00	0.00	0.00	0.00	0.00	0.00	562.46	845.23	847.21	849.13	851.03	852.91	854.78	856.64	858.48	860.31	862.11	863.89	865.64	867.35	869.03	870.67	872.26	873.80	875.29	876.73	878.11	879.43	880.69	881.88	883.01	884.07	885.06	885.98	886.83	887.60	888.30	888.91	889.45	889.90	890.27	890.56	890.76	890.86	890.88	890.81	890.64	890.38	890.01	889.55	888.99	888.32	887.55	886.66	885.67	884.57	883.36	882.03	880.58	879.02	877.34	875.53	873.60	871.55	869.37	867.07	864.64	862.08	859.39	856.57	853.62	850.54	847.33	843.96	840.43	836.74	832.89	828.88	824.71	820.38	815.91	811.27	806.48	801.54	796.44	791.18	785.78	780.23	774.54	768.74	762.75	756.31	750.85	497.32	494.55	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.00	0.00	0.00	0.00	0.00	0.00	563.00	845.69	847.72	849.61	851.48	853.32	855.16	856.99	858.80	860.60	862.39	864.14	865.87	867.57	869.24	870.86	872.44	873.98	875.46	876.89	878.27	879.58	880.84	882.04	883.17	884.23	885.22	886.15	887.00	887.77	888.47	889.09	889.64	890.10	890.48	890.77	890.98	891.10	891.13	891.06	890.91	890.66	890.31	889.86	889.31	888.66	887.90	887.04	886.07	884.99	883.79	882.49	881.06	879.53	877.87	876.09	874.19	872.17	870.02	867.75	865.35	862.82	860.17	857.39	854.48	851.44	848.28	844.95	841.47	837.83	834.03	830.07	825.96	821.69	817.27	812.70	807.98	803.10	798.06	792.87	787.53	782.03	776.38	770.74	765.07	506.22	501.94	499.74	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.00	0.00	0.00	0.00	0.00	0.00	563.29	564.52	848.34	850.09	851.89	853.70	855.50	857.29	859.08	860.85	862.61	864.35	866.06	867.74	869.39	871.01	872.58	874.10	875.58	877.01	878.38	879.69	880.95	882.14	883.27	884.34	885.33	886.26	887.11	887.90	888.60	889.23	889.78	890.25	890.64	890.94	891.16	891.29	891.33	891.28	891.13	890.90	890.56	890.13	889.60	888.96	888.22	887.38	886.43	885.37	884.20	882.91	881.51	880.00	878.37	876.62	874.75	872.75	870.64	868.40	866.04	863.55	860.93	858.19	855.32	852.33	849.21	845.93	842.50	838.90	835.16	831.25	827.20	822.99	818.64	814.14	809.49	804.69	799.71	794.58	789.31	783.88	778.11	772.71	511.95	509.18	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.00	0.00	0.00	0.00	0.00	0.00	0.00	564.76	848.60	850.47	852.26	854.03	855.79	857.55	859.30	861.05	862.78	864.50	866.20	867.86	869.50	871.10	872.66	874.18	875.65	877.07	878.44	879.75	881.01	882.20	883.33	884.40	885.40	886.33	887.19	887.97	888.68	889.32	889.88	890.35	890.75	891.06	891.29	891.43	891.49	891.45	891.32	891.10	890.78	890.36	889.84	889.23	888.51	887.68	886.75	885.71	884.57	883.31	881.93	880.44	878.84	877.12	875.28	873.31	871.23	869.03	866.70	864.25	861.67	858.97	856.15	853.20	850.12	846.89	843.51	839.97	836.27	832.43	828.43	824.29	820.00	815.58	811.02	806.30	801.39	796.29	791.14	785.97	520.63	516.29	514.24	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.00	0.00	0.00	0.00	0.00	0.00	0.00	565.26	849.00	850.88	852.61	854.32	856.03	857.75	859.47	861.20	862.91	864.61	866.28	867.94	869.56	871.15	872.70	874.21	875.67	877.09	878.45	879.76	881.02	882.21	883.34	884.41	885.41	886.35	887.21	888.00	888.72	889.36	889.93	890.42	890.82	891.15	891.39	891.54	891.60	891.58	891.46	891.26	890.95	890.55	890.05	889.46	888.76	887.95	887.04	886.03	884.90	883.66	882.32	880.85	879.28	877.59	875.78	873.85	871.80	869.63	867.34	864.92	862.39	859.73	856.95	854.04	851.02	847.84	844.50	841.01	837.37	833.58	829.65	825.57	821.35	817.01	812.55	807.95	803.12	797.90	792.91	525.56	522.64	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
