0.00	0.00	85.35	134.13	158.54	182.96	207.39	231.82	231.85	256.30	256.34	256.39	256.44	256.49	256.55	256.61	256.67	256.74	256.81	256.89	256.97	257.05	257.14	257.23	257.33	257.43	257.53	257.64	257.75	257.87	257.99	258.11	258.24	258.38	258.51	258.66	258.80	258.95	259.11	259.26	259.43	259.59	259.76	259.94	260.12	260.30	260.49	260.68	260.87	261.07	261.27	261.48	261.69	261.91	262.13	262.35	262.58	262.81	263.02	263.21	263.38	263.53	263.66	263.77	263.86	263.94	263.99	264.02	264.04	264.03	264.01	263.97	263.92	263.85	263.77	263.67	238.45	238.33	213.12	187.93	162.75	137.61	87.51	0.00	
0.00	0.00	85.35	134.13	182.94	207.36	207.39	231.82	231.85	256.30	256.34	256.39	256.44	256.49	256.55	256.61	256.67	256.74	256.81	256.89	256.97	257.05	257.14	257.23	257.33	257.43	257.54	257.64	257.76	257.87	257.99	258.12	258.25	258.38	258.52	258.66	258.81	258.96	259.11	259.27	259.43	259.60	259.77	259.94	260.12	260.30	260.49	260.68	260.88	261.08	261.28	261.49	261.70	261.91	262.13	262.36	262.58	262.81	263.02	263.22	263.39	263.54	263.67	263.78	263.87	263.94	263.99	264.03	264.04	264.04	264.02	263.98	263.93	263.86	263.77	263.67	238.46	238.34	213.12	212.99	187.81	137.61	87.51	0.00	
0.00	0.00	85.35	134.13	182.94	207.36	207.39	231.82	231.86	256.30	256.34	256.39	256.44	256.49	256.55	256.61	256.68	256.74	256.82	256.89	256.97	257.06	257.14	257.24	257.33	257.43	257.54	257.64	257.76	257.87	258.00	258.12	258.25	258.38	258.52	258.66	258.81	258.96	259.11	259.27	259.43	259.60	259.77	259.94	260.12	260.30	260.49	260.68	260.88	261.08	261.28	261.49	261.70	261.91	262.13	262.36	262.58	262.81	263.03	263.22	263.39	263.54	263.67	263.78	263.87	263.94	264.00	264.03	264.04	264.04	264.02	263.98	263.93	263.86	263.78	263.68	238.46	238.34	213.13	213.00	187.81	137.61	87.50	0.00	
0.00	0.00	85.35	134.13	182.93	207.35	207.38	231.82	231.85	256.30	256.34	256.39	256.44	256.49	256.55	256.61	256.67	256.74	256.81	256.89	256.97	257.05	257.14	257.23	257.33	257.43	257.54	257.64	257.76	257.87	257.99	258.12	258.25	258.38	258.52	258.66	258.81	258.96	259.11	259.27	259.43	259.60	259.77	259.94	260.12	260.30	260.49	260.68	260.88	261.08	261.28	261.49	261.70	261.91	262.13	262.36	262.58	262.81	263.02	263.22	263.39	263.54	263.67	263.78	263.87	263.94	263.99	264.03	264.04	264.04	264.02	263.98	263.93	263.86	263.78	263.68	238.46	238.34	213.13	213.00	187.81	137.61	87.51	0.00	
0.00	0.00	85.35	134.13	158.54	182.96	207.38	231.82	231.85	256.30	256.34	256.39	256.44	256.49	256.55	256.61	256.67	256.74	256.81	256.89	256.97	257.05	257.14	257.23	257.33	257.43	257.53	257.64	257.75	257.87	257.99	258.11	258.24	258.38	258.51	258.66	258.80	258.95	259.11	259.26	259.43	259.59	259.76	259.94	260.12	260.30	260.49	260.68	260.87	261.07	261.27	261.48	261.69	261.91	262.13	262.35	262.58	262.81	263.02	263.21	263.38	263.53	263.66	263.77	263.87	263.94	263.99	264.02	264.04	264.03	264.01	263.98	263.92	263.85	263.77	263.67	238.46	238.34	213.13	187.93	162.76	137.62	87.52	0.00	
0.00	0.00	60.96	134.13	158.54	182.96	207.38	231.81	231.85	231.89	256.34	256.38	256.43	256.48	256.54	256.60	256.66	256.73	256.80	256.88	256.96	257.04	257.13	257.22	257.32	257.42	257.52	257.63	257.75	257.86	257.98	258.11	258.24	258.37	258.51	258.65	258.80	258.95	259.10	259.26	259.42	259.59	259.76	259.93	260.11	260.29	260.48	260.67	260.87	261.07	261.27	261.48	261.69	261.90	262.12	262.35	262.57	262.80	263.01	263.21	263.38	263.53	263.66	263.77	263.86	263.93	263.98	264.01	264.03	264.03	264.00	263.97	263.91	263.85	263.76	238.56	238.45	238.33	213.13	187.93	162.76	137.62	62.52	0.00	
0.00	0.00	0.00	109.74	158.54	182.96	207.38	207.41	231.84	231.88	231.92	231.96	232.01	232.06	232.11	232.16	232.22	232.28	232.35	232.41	232.49	232.56	232.64	232.73	232.81	232.90	233.00	233.10	233.20	233.30	233.41	233.53	233.64	233.76	233.89	234.02	234.15	234.28	234.42	234.57	234.71	234.86	235.02	235.18	235.34	235.50	235.67	235.84	236.02	236.20	236.38	236.57	236.76	236.96	237.16	237.36	237.56	237.77	237.96	238.14	238.29	238.43	238.55	238.64	238.73	238.79	238.84	238.87	238.88	238.88	238.86	238.83	238.78	238.71	238.64	238.55	238.44	213.24	213.12	187.93	162.77	112.60	0.00	0.00	
0.00	0.00	0.00	85.36	134.15	158.56	182.98	207.41	207.44	231.88	231.91	231.95	232.00	232.05	232.10	232.15	232.21	232.27	232.34	232.40	232.48	232.55	232.63	232.71	232.80	232.89	232.99	233.08	233.19	233.29	233.40	233.51	233.63	233.75	233.88	234.00	234.14	234.27	234.41	234.55	234.70	234.85	235.01	235.16	235.33	235.49	235.66	235.83	236.01	236.19	236.37	236.56	236.75	236.95	237.15	237.35	237.55	237.76	237.95	238.13	238.28	238.42	238.53	238.63	238.71	238.78	238.82	238.85	238.87	238.86	238.84	238.81	238.76	238.70	238.62	238.53	213.34	213.23	188.04	162.87	137.72	87.59	0.00	0.00	
0.00	0.00	0.00	0.00	109.76	134.16	158.58	183.00	207.43	207.46	207.50	207.53	207.57	207.62	207.66	207.71	207.76	207.82	207.87	207.93	208.00	208.07	208.14	208.21	208.29	208.37	208.46	208.54	208.63	208.73	208.83	208.93	209.03	209.14	209.25	209.37	209.48	209.61	209.73	209.86	209.99	210.13	210.26	210.40	210.55	210.70	210.85	211.00	211.16	211.32	211.49	211.65	211.83	212.00	212.18	212.36	212.54	212.73	212.90	213.05	213.19	213.31	213.42	213.51	213.58	213.64	213.68	213.70	213.71	213.71	213.69	213.66	213.62	213.56	213.49	213.41	213.33	188.14	162.96	137.81	112.69	0.00	0.00	0.00	
0.00	0.00	0.00	0.00	36.59	109.77	134.18	158.60	183.02	183.05	183.08	207.53	207.56	207.60	207.65	207.70	207.75	207.80	207.86	207.92	207.99	208.05	208.13	208.20	208.28	208.36	208.44	208.53	208.62	208.72	208.81	208.92	209.02	209.13	209.24	209.35	209.47	209.59	209.72	209.85	209.98	210.11	210.25	210.39	210.54	210.68	210.84	210.99	211.15	211.31	211.47	211.64	211.81	211.99	212.16	212.35	212.53	212.71	212.89	213.04	213.18	213.30	213.40	213.49	213.56	213.62	213.66	213.69	213.70	213.69	213.67	213.64	213.60	213.55	188.36	188.29	188.22	163.04	137.89	112.75	37.57	0.00	0.00	0.00	
0.00	0.00	0.00	0.00	0.00	36.59	109.78	134.20	158.62	158.64	158.66	183.10	183.14	183.17	183.21	183.25	183.30	183.35	183.40	183.45	183.51	183.57	183.63	183.70	183.76	183.84	183.91	183.99	184.07	184.15	184.24	184.33	184.42	184.51	184.61	184.71	184.82	184.93	185.04	185.15	185.26	185.38	185.51	185.63	185.76	185.89	186.02	186.16	186.30	186.44	186.59	186.73	186.88	187.04	187.19	187.35	187.52	187.68	187.83	187.97	188.09	188.19	188.29	188.36	188.43	188.48	188.51	188.53	188.54	188.54	188.52	188.49	188.45	188.41	163.23	163.18	163.11	137.95	112.82	37.59	0.00	0.00	0.00	0.00	
0.00	0.00	0.00	0.00	0.00	0.00	0.00	85.40	109.81	134.23	134.25	134.27	134.29	134.32	134.35	134.38	134.41	134.45	134.48	134.52	134.56	134.61	134.65	134.70	134.75	134.81	134.86	134.92	134.98	135.04	135.10	135.17	135.23	135.30	135.38	135.45	135.53	135.60	135.69	135.77	135.85	135.94	136.03	136.12	136.21	136.31	136.41	136.51	136.61	136.72	136.82	136.93	137.04	137.15	137.27	137.39	137.50	137.62	137.73	137.83	137.92	138.00	138.07	138.12	138.17	138.21	138.23	138.25	138.25	138.25	138.24	138.21	138.19	138.15	138.11	138.06	112.92	87.80	0.00	0.00	0.00	0.00	0.00	0.00	
