0.01	1.71	1.26	0.79	0.59	0.53	0.32	0.42	0.31	0.19	0.18	0.18	0.17	0.17	0.16	0.16	0.16	0.16	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.16	0.16	0.16	0.16	0.17	0.17	0.18	0.18	0.19	0.19	0.20	0.21	0.22	0.23	0.25	0.28	0.33	0.39	0.47	0.62	0.64	0.00	
0.01	1.81	1.23	0.79	0.57	0.52	0.30	0.42	0.28	0.19	0.18	0.18	0.17	0.17	0.16	0.16	0.16	0.16	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.16	0.16	0.16	0.16	0.17	0.17	0.17	0.18	0.19	0.19	0.20	0.21	0.22	0.23	0.25	0.28	0.33	0.38	0.45	0.56	0.54	0.00	
0.01	1.71	1.25	0.78	0.59	0.52	0.32	0.43	0.31	0.19	0.18	0.18	0.17	0.17	0.16	0.16	0.16	0.16	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.16	0.16	0.16	0.16	0.16	0.17	0.17	0.18	0.18	0.19	0.19	0.20	0.21	0.22	0.23	0.25	0.28	0.32	0.38	0.44	0.58	0.59	0.00	
0.01	1.39	1.39	0.84	0.65	0.55	0.39	0.22	0.39	0.23	0.19	0.18	0.17	0.17	0.17	0.16	0.16	0.16	0.16	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.16	0.16	0.16	0.16	0.16	0.17	0.17	0.17	0.18	0.18	0.19	0.20	0.20	0.21	0.22	0.24	0.26	0.29	0.32	0.39	0.48	0.61	0.39	0.00	
0.00	0.48	1.95	0.91	0.67	0.45	0.48	0.28	0.21	0.19	0.19	0.18	0.18	0.17	0.17	0.17	0.16	0.16	0.16	0.16	0.16	0.16	0.16	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.16	0.16	0.16	0.16	0.16	0.16	0.16	0.16	0.17	0.17	0.17	0.18	0.18	0.18	0.19	0.20	0.20	0.21	0.22	0.23	0.24	0.27	0.30	0.33	0.39	0.48	0.46	0.00	0.00	
0.00	0.01	1.92	1.06	0.72	0.60	0.33	0.44	0.27	0.20	0.20	0.19	0.18	0.18	0.18	0.17	0.17	0.17	0.17	0.16	0.16	0.16	0.16	0.16	0.16	0.16	0.16	0.16	0.16	0.16	0.16	0.16	0.16	0.16	0.16	0.16	0.16	0.17	0.17	0.17	0.17	0.17	0.18	0.18	0.18	0.19	0.19	0.20	0.20	0.21	0.22	0.23	0.24	0.26	0.28	0.30	0.35	0.42	0.49	0.41	0.00	0.00	
0.00	0.00	0.83	1.60	0.78	0.58	0.54	0.32	0.23	0.21	0.20	0.20	0.19	0.19	0.19	0.18	0.18	0.18	0.18	0.17	0.17	0.17	0.17	0.17	0.17	0.17	0.17	0.17	0.17	0.17	0.17	0.17	0.17	0.17	0.17	0.17	0.17	0.18	0.18	0.18	0.18	0.18	0.19	0.19	0.19	0.20	0.20	0.21	0.22	0.23	0.23	0.24	0.25	0.27	0.29	0.33	0.35	0.35	0.48	0.00	0.00	0.00	
0.00	0.00	0.00	1.57	1.09	0.66	0.56	0.31	0.25	0.29	0.22	0.21	0.21	0.20	0.20	0.19	0.19	0.19	0.19	0.19	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.19	0.19	0.19	0.19	0.19	0.20	0.20	0.20	0.21	0.21	0.22	0.23	0.23	0.24	0.25	0.26	0.27	0.30	0.32	0.36	0.33	0.37	0.09	0.00	0.00	0.00	
0.00	0.00	0.00	0.05	1.66	1.03	0.70	0.38	0.28	0.31	0.24	0.23	0.22	0.22	0.21	0.21	0.21	0.21	0.20	0.20	0.20	0.20	0.20	0.20	0.20	0.20	0.20	0.20	0.20	0.20	0.20	0.20	0.20	0.20	0.20	0.20	0.20	0.20	0.21	0.21	0.21	0.22	0.22	0.22	0.23	0.23	0.24	0.25	0.25	0.26	0.27	0.28	0.29	0.34	0.37	0.41	0.43	0.08	0.00	0.00	0.00	0.00	
0.00	0.00	0.00	0.00	0.00	1.26	1.15	0.68	0.39	0.31	0.28	0.25	0.25	0.24	0.24	0.24	0.23	0.23	0.23	0.23	0.23	0.22	0.22	0.22	0.22	0.22	0.22	0.22	0.22	0.22	0.22	0.22	0.23	0.23	0.23	0.23	0.23	0.23	0.24	0.24	0.24	0.25	0.25	0.26	0.26	0.27	0.27	0.28	0.29	0.30	0.31	0.33	0.36	0.41	0.35	0.34	0.00	0.00	0.00	0.00	0.00	0.00	
