0.00 0.00 2336.32 2850.05 3873.29 3952.20 4536.87 5132.69 5220.03 5305.50 5388.17 5467.74 5544.05 5617.26 5687.44 5754.60 5818.71 5879.72 5937.63 5992.40 6044.03 6092.56 6137.99 6180.37 6219.75 6256.20 6289.78 6320.57 6348.65 6374.10 6397.03 6417.51 6435.66 6451.56 6465.31 6477.01 6486.77 6494.67 6500.82 6505.31 6508.24 6509.71 6509.80 6508.61 6506.23 6502.74 6498.23 6492.78 6486.47 6479.38 6471.59 6463.15 6454.14 6444.63 6434.68 6424.34 6413.67 6402.73 6391.55 6380.19 6368.68 6357.07 6345.39 6333.67 6321.93 6310.19 6298.49 6286.83 6275.22 6263.67 6252.20 6240.79 6229.44 6218.15 6206.91 6195.70 6184.51 6173.31 6162.07 6150.78 6139.38 6127.86 6116.16 6104.24 6092.06 6079.56 6066.68 6053.36 6039.53 6025.11 6010.02 5994.13 5977.31 5959.36 5940.07 5920.13 5900.08 5293.77 4689.74 4672.18 3490.78 2900.68 0.00 
0.00 0.00 2324.78 3059.66 3854.50 3934.65 4520.61 5117.85 5206.51 5293.83 5378.17 5999.17 6082.78 6163.81 6241.84 6316.61 6387.99 6455.88 6520.23 6581.04 6638.31 6692.07 6742.35 6789.22 6832.73 6872.96 6910.00 6943.93 6974.85 7002.86 7028.07 7050.57 7070.48 7087.91 7102.97 7115.76 7126.40 7134.99 7141.65 7146.49 7149.61 7151.11 7151.10 7149.68 7146.95 7143.00 7137.94 7131.84 7124.79 7116.89 7108.22 7098.85 7088.85 7078.30 7067.27 7055.83 7044.02 7031.92 7019.57 7007.02 6994.32 6981.51 6968.62 6955.70 6942.76 6929.85 6916.97 6904.14 6891.38 6878.69 6866.09 6853.57 6841.13 6828.76 6816.45 6804.18 6791.94 6779.70 6767.44 6755.11 6742.70 6730.14 6717.42 6704.47 6691.24 6677.68 6663.73 6649.33 6634.41 6618.90 6602.76 6585.94 6568.47 5959.80 5940.82 5921.00 5901.19 5294.99 5276.04 4673.59 3491.72 2901.10 580.06 
0.00 0.00 2301.91 3036.15 3830.45 3913.74 4500.97 5099.81 5190.43 5279.68 5365.68 5987.88 6072.70 6154.76 6233.68 6309.21 6381.24 6449.69 6514.52 6575.73 6633.35 6687.39 6737.92 6784.98 6828.66 6869.02 6906.17 6940.19 6971.17 6999.23 7024.47 7047.00 7066.92 7084.35 7099.40 7112.18 7122.80 7131.38 7138.01 7142.82 7145.91 7147.38 7147.33 7145.88 7143.11 7139.13 7134.03 7127.89 7120.82 7112.88 7104.17 7094.77 7084.74 7074.17 7063.11 7051.64 7039.81 7027.69 7015.32 7002.75 6990.03 6977.21 6964.31 6951.38 6938.44 6925.52 6912.64 6899.81 6887.06 6874.38 6861.79 6849.28 6836.86 6824.51 6812.23 6799.99 6787.78 6775.58 6763.36 6751.09 6738.73 6726.25 6713.60 6700.74 6687.61 6674.17 6660.36 6646.12 6631.38 6616.09 6600.19 6583.65 6566.47 5958.12 5939.46 5920.12 5900.73 5294.85 5276.22 4674.10 3492.44 2902.32 580.25 
0.00 0.00 2268.07 2779.89 3802.27 3889.83 4478.39 5079.34 5172.30 5263.26 5350.86 5434.63 5514.51 5590.76 5663.56 5732.95 5798.97 5861.62 5920.92 5976.87 6029.50 6078.86 6124.99 6167.95 6207.81 6244.64 6278.53 6309.56 6337.83 6363.42 6386.44 6406.99 6425.16 6441.06 6454.79 6466.46 6476.16 6484.00 6490.07 6494.47 6497.31 6498.68 6498.67 6497.38 6494.90 6491.30 6486.69 6481.14 6474.73 6467.54 6459.64 6451.11 6442.02 6432.42 6422.39 6411.98 6401.24 6390.23 6378.99 6367.58 6356.03 6344.38 6332.67 6320.92 6309.16 6297.42 6285.71 6274.06 6262.46 6250.94 6239.49 6228.12 6216.83 6205.60 6194.44 6183.31 6172.22 6161.13 6150.03 6138.88 6127.66 6116.33 6104.86 6093.20 6081.32 6069.16 6056.67 6043.81 6030.51 6016.69 6002.29 5987.20 5971.26 5954.30 5936.09 5917.57 5898.77 5293.44 4690.19 4673.76 3492.93 2904.39 0.00 
0.00 0.00 1779.78 2746.06 3294.80 3865.32 4454.26 4548.28 5154.15 5245.19 5334.05 5418.94 5499.86 5577.08 5650.74 5720.90 5787.61 5850.86 5910.68 5967.09 6020.11 6069.80 6116.20 6159.38 6199.42 6236.39 6270.38 6301.49 6329.80 6355.42 6378.44 6398.98 6417.13 6432.99 6446.68 6458.29 6467.92 6475.69 6481.69 6486.02 6488.78 6490.07 6489.98 6488.60 6486.03 6482.35 6477.65 6472.02 6465.53 6458.27 6450.30 6441.70 6432.53 6422.87 6412.78 6402.31 6391.52 6380.46 6369.18 6357.73 6346.14 6334.46 6322.73 6310.96 6299.18 6287.43 6275.72 6264.07 6252.48 6240.98 6229.55 6218.21 6206.95 6195.76 6184.64 6173.57 6162.53 6151.52 6140.49 6129.43 6118.31 6107.09 6095.73 6084.21 6072.48 6060.49 6048.20 6035.56 6022.51 6008.98 5994.91 5980.18 5964.63 5948.17 5931.05 5913.65 5308.45 5290.94 4688.40 4088.70 3492.95 2325.78 0.00 
0.00 0.00 1747.68 2712.79 3264.75 3839.70 4431.00 4526.66 5134.45 5226.59 5316.80 5402.16 5483.68 5561.58 5635.96 5706.83 5774.20 5838.07 5898.43 5955.31 6008.74 6058.76 6105.44 6148.85 6189.07 6226.17 6260.26 6291.43 6319.78 6345.40 6368.42 6388.92 6407.03 6422.83 6436.45 6447.98 6457.53 6465.20 6471.10 6475.33 6477.98 6479.16 6478.96 6477.47 6474.79 6471.00 6466.20 6460.46 6453.87 6446.50 6438.44 6429.75 6420.49 6410.75 6400.58 6390.03 6379.17 6368.05 6356.72 6345.21 6333.58 6321.87 6310.10 6298.30 6286.51 6274.75 6263.03 6251.38 6239.81 6228.32 6216.92 6205.60 6194.38 6183.24 6172.18 6161.17 6150.21 6139.28 6128.34 6117.38 6106.37 6095.28 6084.07 6072.70 6061.14 6049.34 6037.28 6024.89 6012.13 5998.95 5985.29 5971.08 5956.23 5940.73 5924.55 5908.15 5303.87 5287.49 4685.99 4087.42 3494.19 2328.31 0.00 
0.00 0.00 864.62 2235.90 2773.55 3336.18 3915.72 4508.18 4600.18 4687.85 5301.52 5385.86 5467.40 5545.68 5620.58 5692.04 5760.01 5824.45 5885.33 5942.67 5996.50 6046.86 6093.81 6137.44 6177.82 6215.05 6249.23 6280.45 6308.82 6334.44 6357.43 6377.90 6395.94 6411.67 6425.20 6436.64 6446.09 6453.65 6459.44 6463.55 6466.08 6467.13 6466.81 6465.20 6462.39 6458.49 6453.56 6447.71 6441.00 6433.52 6425.35 6416.55 6407.20 6397.37 6387.10 6376.48 6365.54 6354.35 6342.95 6331.39 6319.71 6307.95 6296.15 6284.32 6272.51 6260.74 6249.02 6237.37 6225.80 6214.33 6202.95 6191.68 6180.50 6169.41 6158.41 6147.47 6136.59 6125.74 6114.90 6104.05 6093.16 6082.20 6071.13 6059.93 6048.54 6036.95 6025.11 6012.99 6000.54 5987.73 5974.52 5960.87 5946.77 5932.26 5328.12 5313.42 5298.25 4696.97 4097.84 3501.85 2913.86 1164.67 0.00 
0.00 0.00 0.00 1778.55 2761.35 3320.93 3899.51 3986.51 4584.91 4670.27 4753.95 4834.17 4908.65 4979.61 5047.49 5112.30 5173.96 5232.43 5287.66 5339.64 5388.41 5434.02 5476.51 5515.96 5552.45 5586.07 5616.90 5645.06 5670.62 5693.70 5714.38 5732.78 5748.99 5763.11 5775.23 5785.47 5793.91 5800.64 5805.78 5809.40 5811.60 5812.47 5812.09 5810.56 5807.96 5804.36 5799.85 5794.50 5788.39 5781.58 5774.15 5766.17 5757.69 5748.77 5739.48 5729.86 5719.96 5709.85 5699.54 5689.10 5678.56 5667.94 5657.29 5646.63 5635.99 5625.38 5614.83 5604.35 5593.94 5583.63 5573.41 5563.29 5553.26 5543.31 5533.45 5523.65 5513.92 5504.21 5494.53 5484.84 5475.12 5465.35 5455.50 5445.53 5435.42 5425.14 5414.66 5403.95 5392.99 5381.76 5370.21 5358.30 5345.89 5332.66 5319.29 5305.99 4704.82 4692.35 4095.03 3502.59 2333.08 0.00 0.00 
0.00 0.00 0.00 448.39 1830.67 2834.95 3397.80 3473.85 4060.70 4136.97 4212.76 4821.53 4893.51 4963.92 5031.96 5097.20 5159.39 5218.38 5274.09 5326.50 5375.63 5421.53 5464.26 5503.89 5540.52 5574.23 5605.12 5633.30 5658.86 5681.91 5702.54 5720.87 5737.00 5751.02 5763.04 5773.16 5781.48 5788.09 5793.09 5796.57 5798.64 5799.36 5798.85 5797.18 5794.43 5790.70 5786.05 5780.57 5774.33 5767.40 5759.85 5751.75 5743.16 5734.14 5724.74 5715.03 5705.05 5694.86 5684.48 5673.98 5663.38 5652.72 5642.03 5631.33 5620.67 5610.04 5599.48 5589.00 5578.61 5568.32 5558.12 5548.03 5538.05 5528.16 5518.36 5508.64 5498.98 5489.37 5479.79 5470.21 5460.61 5450.97 5441.26 5431.45 5421.51 5411.42 5401.16 5390.70 5380.04 5369.17 5358.10 5346.86 5335.47 4733.27 4721.70 4710.53 4111.76 4101.97 3508.55 2337.23 0.00 0.00 0.00 
0.00 0.00 0.00 0.00 923.31 1881.16 2908.16 2969.38 3542.06 3606.99 4201.17 4269.83 4335.33 4398.73 4459.91 4518.57 4574.46 4627.43 4677.42 4724.39 4768.39 4809.44 4847.62 4883.01 4915.67 4945.71 4973.22 4998.28 5021.00 5041.46 5059.76 5076.00 5090.27 5102.65 5113.25 5122.15 5129.45 5135.22 5139.56 5142.55 5144.27 5144.80 5144.23 5142.63 5140.08 5136.65 5132.41 5127.43 5121.78 5115.52 5108.71 5101.42 5093.70 5085.59 5077.17 5068.46 5059.52 5050.40 5041.12 5031.73 5022.26 5012.74 5003.21 4993.68 4984.18 4974.72 4965.33 4956.01 4946.78 4937.65 4928.61 4919.67 4910.83 4902.08 4893.42 4884.83 4876.31 4867.84 4859.40 4850.98 4842.54 4834.08 4825.56 4816.96 4808.26 4799.44 4790.48 4781.37 4772.11 4762.71 4753.19 4743.58 4733.82 4723.73 4124.55 4115.78 3519.79 3514.51 2340.83 1169.82 0.00 0.00 0.00 
