0.00	0.00	432.50	516.68	685.79	681.53	762.38	842.70	837.77	832.84	828.02	823.33	818.74	814.24	809.82	805.48	801.22	797.05	792.96	788.96	785.06	781.26	777.57	773.98	770.49	767.12	763.85	760.70	757.66	754.73	751.92	749.23	746.64	744.18	741.83	739.59	737.48	735.48	733.60	731.83	730.19	728.66	727.26	725.97	724.80	723.76	722.83	722.02	721.33	720.77	720.32	720.00	719.79	719.71	719.74	719.90	720.18	720.58	721.09	721.73	722.49	723.37	724.37	725.48	726.72	728.08	729.55	731.15	732.86	734.69	736.65	738.72	740.91	743.21	745.64	748.19	750.86	753.64	756.55	759.57	762.72	765.99	769.37	772.88	776.51	780.27	784.14	788.14	792.27	796.53	800.92	805.46	810.16	815.06	820.17	825.36	830.55	752.14	672.97	677.39	511.83	428.79	0.00	
0.00	0.00	432.91	561.11	686.60	682.33	763.16	843.45	838.47	833.46	828.59	907.33	902.35	897.40	892.51	887.70	882.97	878.34	873.81	869.38	865.06	860.86	856.77	852.80	848.96	845.23	841.62	838.14	834.79	831.56	828.46	825.48	822.63	819.91	817.32	814.86	812.52	810.32	808.25	806.30	804.49	802.81	801.26	799.84	798.55	797.40	796.37	795.48	794.73	794.10	793.61	793.25	793.03	792.93	792.97	793.15	793.45	793.89	794.46	795.17	796.00	796.97	798.07	799.30	800.66	802.16	803.79	805.54	807.43	809.45	811.60	813.88	816.30	818.84	821.51	824.32	827.26	830.32	833.52	836.85	840.32	843.91	847.64	851.50	855.49	859.62	863.88	868.27	872.79	877.44	882.21	887.10	892.09	815.00	820.07	825.26	830.40	752.00	756.85	677.17	511.71	428.79	85.91	
0.00	0.00	434.02	562.29	687.89	683.51	764.34	844.60	839.56	834.47	829.52	908.22	903.19	898.20	893.27	888.42	883.67	879.01	874.45	870.01	865.67	861.46	857.36	853.38	849.52	845.78	842.17	838.69	835.33	832.09	828.98	826.00	823.15	820.43	817.83	815.37	813.03	810.82	808.75	806.80	804.99	803.30	801.75	800.33	799.04	797.89	796.86	795.97	795.22	794.59	794.10	793.74	793.51	793.42	793.46	793.64	793.94	794.38	794.95	795.66	796.49	797.46	798.56	799.79	801.16	802.65	804.28	806.04	807.93	809.95	812.10	814.38	816.80	819.34	822.02	824.82	827.76	830.83	834.03	837.36	840.82	844.41	848.14	851.99	855.98	860.09	864.34	868.71	873.22	877.84	882.59	887.44	892.38	815.25	820.27	825.38	830.45	751.99	756.79	677.04	511.54	428.50	85.86	
0.00	0.00	435.78	520.20	689.58	685.05	765.90	846.10	841.00	835.85	830.82	825.95	821.22	816.58	812.05	807.61	803.26	799.01	794.86	790.81	786.86	783.02	779.29	775.66	772.15	768.75	765.47	762.30	759.24	756.30	753.47	750.76	748.17	745.69	743.33	741.09	738.97	736.96	735.08	733.31	731.66	730.13	728.72	727.43	726.26	725.21	724.28	723.47	722.78	722.21	721.76	721.44	721.23	721.15	721.18	721.34	721.62	722.02	722.54	723.18	723.94	724.82	725.82	726.94	728.17	729.53	731.01	732.61	734.33	736.16	738.12	740.19	742.38	744.70	747.13	749.68	752.34	755.13	758.03	761.06	764.20	767.46	770.84	774.33	777.95	781.67	785.52	789.48	793.55	797.74	802.04	806.48	811.06	815.81	820.75	825.71	830.69	752.11	672.81	677.01	511.33	427.93	0.00	
0.00	0.00	350.36	522.17	605.00	686.82	767.75	762.73	842.65	837.57	832.50	827.58	822.79	818.12	813.54	809.07	804.69	800.41	796.23	792.16	788.19	784.33	780.58	776.94	773.41	770.00	766.70	763.52	760.45	757.50	754.67	751.95	749.35	746.87	744.51	742.26	740.13	738.12	736.23	734.46	732.80	731.27	729.86	728.56	727.39	726.34	725.40	724.59	723.90	723.33	722.89	722.56	722.35	722.27	722.31	722.46	722.74	723.14	723.66	724.30	725.06	725.95	726.95	728.07	729.31	730.67	732.15	733.75	735.47	737.31	739.27	741.35	743.54	745.86	748.29	750.84	753.52	756.31	759.21	762.24	765.38	768.65	772.02	775.52	779.13	782.85	786.68	790.63	794.68	798.84	803.11	807.50	812.03	816.70	821.45	826.19	747.79	752.38	672.95	592.60	511.12	341.76	0.00	
0.00	0.00	352.00	524.15	607.02	688.78	769.70	764.68	844.56	839.47	834.39	829.48	824.68	819.98	815.38	810.87	806.46	802.15	797.95	793.85	789.85	785.97	782.20	778.54	775.00	771.57	768.26	765.07	761.99	759.03	756.19	753.46	750.85	748.36	745.99	743.74	741.60	739.59	737.69	735.91	734.25	732.72	731.30	730.00	728.83	727.77	726.84	726.02	725.33	724.76	724.31	723.98	723.78	723.69	723.73	723.89	724.17	724.57	725.09	725.73	726.49	727.38	728.38	729.51	730.75	732.12	733.60	735.20	736.93	738.77	740.73	742.82	745.02	747.34	749.77	752.33	755.01	757.80	760.71	763.74	766.89	770.16	773.54	777.03	780.64	784.36	788.19	792.12	796.15	800.28	804.51	808.83	813.24	817.75	822.37	826.94	748.38	752.76	673.14	592.61	510.61	341.06	0.00	
0.00	0.00	176.41	438.22	521.84	604.25	685.79	766.61	761.69	756.87	836.30	831.46	826.69	821.98	817.37	812.84	808.40	804.06	799.83	795.70	791.68	787.77	783.98	780.31	776.75	773.30	769.98	766.77	763.68	760.71	757.86	755.12	752.51	750.01	747.63	745.37	743.23	741.20	739.30	737.52	735.85	734.31	732.89	731.59	730.41	729.35	728.41	727.60	726.90	726.33	725.88	725.55	725.35	725.26	725.30	725.46	725.74	726.14	726.66	727.31	728.07	728.96	729.96	731.09	732.34	733.71	735.20	736.80	738.53	740.38	742.35	744.43	746.64	748.96	751.41	753.97	756.65	759.45	762.37	765.41	768.56	771.83	775.21	778.71	782.32	786.04	789.86	793.78	797.80	801.89	806.07	810.31	814.60	818.91	740.74	744.89	749.09	669.58	589.33	508.13	424.89	170.38	0.00	
0.00	0.00	0.00	351.28	523.12	605.86	687.58	683.12	763.62	758.98	754.31	749.74	745.39	741.14	736.97	732.88	728.86	724.94	721.10	717.37	713.73	710.20	706.77	703.45	700.24	697.13	694.12	691.23	688.44	685.76	683.18	680.71	678.35	676.10	673.95	671.91	669.98	668.15	666.44	664.83	663.33	661.94	660.65	659.48	658.42	657.46	656.62	655.88	655.25	654.74	654.33	654.04	653.85	653.77	653.81	653.95	654.20	654.56	655.04	655.62	656.31	657.11	658.02	659.03	660.16	661.39	662.73	664.18	665.74	667.41	669.18	671.06	673.05	675.15	677.35	679.66	682.08	684.60	687.23	689.97	692.81	695.75	698.80	701.95	705.20	708.54	711.97	715.49	719.08	722.74	726.45	730.22	734.05	738.05	742.02	745.89	666.62	670.10	589.51	507.59	339.32	0.00	0.00	
0.00	0.00	0.00	87.68	349.55	520.51	603.08	599.21	680.36	676.23	672.01	751.65	747.46	743.26	739.10	734.98	730.95	726.99	723.13	719.37	715.71	712.16	708.71	705.37	702.13	699.01	695.99	693.08	690.28	687.59	685.00	682.53	680.16	677.89	675.74	673.69	671.75	669.92	668.20	666.58	665.07	663.68	662.39	661.21	660.14	659.19	658.34	657.60	656.97	656.45	656.05	655.75	655.56	655.48	655.52	655.66	655.92	656.28	656.75	657.34	658.03	658.83	659.74	660.76	661.89	663.13	664.48	665.93	667.49	669.17	670.94	672.83	674.83	676.93	679.14	681.45	683.88	686.41	689.04	691.79	694.64	697.59	700.64	703.80	707.05	710.40	713.84	717.35	720.93	724.56	728.22	731.88	735.49	657.06	660.56	663.88	584.01	586.82	505.29	337.73	0.00	0.00	0.00	
0.00	0.00	0.00	0.00	174.47	347.77	517.89	514.82	596.75	593.25	673.83	669.95	666.16	662.40	658.67	654.99	651.37	647.83	644.37	641.01	637.73	634.55	631.47	628.49	625.60	622.81	620.12	617.52	615.02	612.62	610.31	608.10	605.99	603.97	602.05	600.22	598.49	596.86	595.32	593.88	592.54	591.29	590.14	589.09	588.14	587.29	586.53	585.87	585.31	584.85	584.49	584.22	584.05	583.98	584.01	584.14	584.37	584.69	585.12	585.64	586.25	586.97	587.78	588.69	589.70	590.80	592.00	593.30	594.69	596.18	597.77	599.45	601.23	603.10	605.07	607.13	609.29	611.55	613.90	616.34	618.88	621.51	624.23	627.05	629.95	632.93	635.99	639.11	642.29	645.51	648.74	651.96	655.17	658.40	579.04	581.75	501.19	502.97	336.35	168.51	0.00	0.00	0.00	
0.00	0.00	0.00	0.00	0.00	0.00	345.15	429.60	512.58	509.85	506.90	587.72	584.52	581.25	577.96	574.71	571.52	568.39	565.34	562.37	559.48	556.68	553.97	551.35	548.81	546.35	543.99	541.71	539.51	537.40	535.38	533.43	531.58	529.81	528.12	526.51	524.99	523.56	522.21	520.95	519.77	518.67	517.66	516.74	515.91	515.15	514.49	513.91	513.42	513.02	512.70	512.46	512.32	512.26	512.28	512.40	512.60	512.88	513.25	513.71	514.25	514.88	515.59	516.39	517.27	518.24	519.30	520.44	521.66	522.97	524.36	525.83	527.39	529.04	530.77	532.58	534.47	536.45	538.51	540.66	542.89	545.20	547.59	550.05	552.60	555.22	557.90	560.65	563.44	566.26	569.07	571.83	574.48	494.94	497.30	499.15	417.38	334.76	83.92	0.00	0.00	0.00	0.00	
0.00	0.00	0.00	0.00	0.00	0.00	0.00	171.38	341.49	340.45	423.18	421.01	418.66	416.26	413.87	411.51	409.20	406.94	404.74	402.60	400.53	398.51	396.57	394.68	392.86	391.10	389.40	387.77	386.20	384.68	383.23	381.84	380.51	379.24	378.03	376.88	375.79	374.76	373.80	372.89	372.05	371.26	370.54	369.88	369.28	368.74	368.27	367.85	367.50	367.21	366.98	366.81	366.71	366.67	366.69	366.77	366.91	367.11	367.38	367.71	368.09	368.54	369.06	369.63	370.26	370.96	371.71	372.53	373.40	374.34	375.34	376.39	377.51	378.69	379.92	381.22	382.58	384.00	385.47	387.01	388.61	390.26	391.97	393.74	395.57	397.45	399.38	401.35	403.36	405.39	407.43	409.41	411.27	412.85	331.53	332.29	166.62	0.00	0.00	0.00	0.00	0.00	0.00	
